Step,Tension_Force_1,Tension_Force_2,Tension_Force_3,Tension_Force_4,Tension_Force_5,Tension_Force_6,Tension_Force_7,Tension_Force_8,Tension_Force_9,Tension_Force_10,Tension_Force_11,Tension_Force_12,Tension_Force_13,Tension_Force_14,Tension_Force_15,Tension_Force_16,Tension_Force_17,Tension_Force_18,Tension_Force_19,Tension_Force_20,Tension_Force_21,Tension_Force_22,Tension_Force_23,Tension_Force_24
0,-0.24694204,0.2956446,1.0,-0.4387356,1.0,0.5161602,-0.34357414,-0.9522338,0.034815937,1.0,1.0,1.0,-0.03225273,-1.0,-1.0,1.0,-1.0,0.9560654,0.8139671,-0.088478096,-0.94116646,1.0,1.0,-1.0
1,1.0,-1.0,1.0,1.0,1.0,-0.050610427,-0.5084499,-1.0,1.0,1.0,1.0,1.0,-0.6827751,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.52084243,1.0,1.0,-1.0
2,1.0,-1.0,0.93059623,1.0,1.0,0.57337636,-1.0,-1.0,1.0,1.0,1.0,1.0,-0.8873742,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.56897986,1.0,1.0,-1.0
3,1.0,-1.0,1.0,1.0,1.0,0.1742031,-1.0,-0.6790931,1.0,1.0,1.0,1.0,-0.8021628,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.23907536,1.0,1.0,-1.0
4,1.0,-1.0,1.0,1.0,1.0,0.5403551,-1.0,-0.98506725,1.0,1.0,1.0,0.9334353,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.15176511,1.0,1.0,-1.0
5,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-0.8288424,1.0,1.0,1.0,0.53135645,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.1965,1.0,1.0,-1.0
6,1.0,-1.0,1.0,1.0,1.0,1.0,-0.053275913,-0.86310637,0.98469007,1.0,1.0,-0.01864028,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
7,1.0,-1.0,1.0,1.0,1.0,1.0,-0.4556146,-0.8609042,1.0,1.0,1.0,0.08426839,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
8,1.0,-1.0,1.0,1.0,1.0,1.0,-0.027208954,-1.0,1.0,1.0,1.0,-0.04817164,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.76728106,1.0,-1.0
9,1.0,-1.0,1.0,1.0,1.0,1.0,0.018877834,-1.0,1.0,1.0,1.0,-0.05256957,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.6783478,1.0,-1.0
10,1.0,-1.0,1.0,1.0,1.0,1.0,0.027816385,-1.0,1.0,1.0,1.0,-0.014468133,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.73310107,1.0,-1.0
11,1.0,-1.0,1.0,1.0,1.0,1.0,0.029431134,-0.9263015,1.0,1.0,1.0,0.0106527805,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.80861604,1.0,-1.0
12,1.0,-1.0,1.0,1.0,1.0,1.0,0.05778393,-0.8505757,1.0,1.0,1.0,0.10490894,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.88144016,1.0,-1.0
13,1.0,-1.0,1.0,1.0,1.0,0.9987316,-0.07856515,-0.73528767,1.0,1.0,1.0,0.35808146,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.9227207,1.0,-1.0
14,1.0,-1.0,1.0,1.0,1.0,0.9895698,-0.7623844,-0.9609852,1.0,1.0,1.0,0.6416937,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.7533041,1.0,-1.0
15,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-0.79133224,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
16,0.9407177,-1.0,1.0,1.0,1.0,1.0,-1.0,-0.8482213,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
17,1.0,-1.0,1.0,1.0,-0.83301616,1.0,-0.6460998,0.57714367,0.5348996,1.0,1.0,1.0,-0.44182676,0.7932568,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.75925386,-1.0
18,0.83717406,0.90824383,1.0,-0.93521684,-0.025518358,1.0,0.21923599,1.0,1.0,1.0,1.0,1.0,0.8069907,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.7354074,1.0,0.8628863,0.78491724
19,1.0,0.816951,1.0,-0.924518,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5090454,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.14838241,-1.0,0.27481818
20,0.98867714,1.0,1.0,-1.0,-0.8851177,1.0,0.977365,1.0,0.12000042,1.0,0.5950685,1.0,1.0,1.0,-1.0,-1.0,0.9338144,1.0,1.0,-1.0,1.0,1.0,0.008595765,0.03801734
21,0.61013854,1.0,1.0,-1.0,-0.9816696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.92420197,-0.46133408,0.7739202,1.0,1.0,-1.0,1.0,1.0,-0.1600557,0.74401474
22,-0.37382373,1.0,1.0,-1.0,-0.9501739,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.9482337,-0.014738649,-0.052048385,1.0,1.0,-1.0,1.0,1.0,-0.32302433,1.0
23,-0.92531455,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.89410436,1.0,1.0,1.0,1.0,0.60384786,-0.8224784,-0.49756745,-0.013371855,1.0,1.0,-1.0,1.0,1.0,-0.47145107,1.0
24,-1.0,0.88682795,1.0,-1.0,-1.0,1.0,1.0,1.0,0.7197031,1.0,1.0,1.0,1.0,0.33455798,-0.5521456,-1.0,0.3018209,1.0,1.0,-1.0,1.0,1.0,0.21703988,1.0
25,-1.0,0.61576355,1.0,-1.0,-1.0,1.0,1.0,1.0,0.76893556,1.0,0.6486864,1.0,1.0,0.35045716,-1.0,-1.0,-0.39704213,1.0,1.0,-1.0,1.0,0.90972066,-0.26900393,1.0
26,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.41763952,1.0,0.27031803,1.0,1.0,0.19368634,-0.23156962,-0.85167587,0.20635548,1.0,1.0,-1.0,1.0,1.0,0.15070528,1.0
27,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.5392822,1.0,1.0,1.0,1.0,0.07800153,-0.57907355,-0.31826687,1.0,1.0,0.84281075,-1.0,1.0,1.0,0.23482579,1.0
28,-0.5207335,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.8226719,1.0,1.0,1.0,1.0,-0.03999204,-1.0,0.44030306,1.0,1.0,1.0,-1.0,1.0,0.2005078,0.08321875,1.0
29,0.696609,-0.32342815,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0023262613,-1.0,0.41791168,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-0.639891
30,0.1517897,-0.5262373,1.0,-1.0,-1.0,-0.11166307,0.70933986,1.0,-1.0,1.0,0.056782022,0.7684003,0.29500747,-1.0,-1.0,0.6586212,1.0,1.0,1.0,0.6652962,-0.20661741,-1.0,-1.0,-1.0
31,0.29204008,-0.20002109,1.0,-0.647636,-1.0,0.7129009,-0.77161086,1.0,-1.0,1.0,-0.87839985,1.0,0.5529508,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-0.68936765,-0.15546703
32,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.36522952,1.0,-1.0,1.0,-0.61793697,0.9193617,1.0,0.20126298,0.043731093,-0.6931435,1.0,0.6902554,0.44868562,1.0,-0.34533238,-1.0,0.056440234,0.23681167
33,-1.0,1.0,-0.7386188,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-0.29752594,1.0,-0.29390123,1.0,-1.0,1.0,-0.7381033,-0.44376692,1.0,0.9248923,-1.0,-0.15810955,1.0
34,-0.31041154,1.0,-1.0,-1.0,-1.0,0.16985965,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-0.1835598,1.0,-1.0,1.0,-1.0,-1.0,0.89924914,1.0,0.18128477,-1.0,1.0
35,-0.43202695,1.0,-1.0,-0.23910905,-1.0,0.9381286,-1.0,1.0,-1.0,-1.0,0.2475511,0.44945753,1.0,-0.36786047,1.0,-1.0,-0.67927694,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
36,-1.0,1.0,-1.0,1.0,-1.0,0.11037636,-1.0,0.3996602,-1.0,-0.7785426,1.0,0.63941693,-0.10156065,0.9156752,-1.0,-1.0,-0.49577883,-1.0,-1.0,0.7655446,1.0,-1.0,-1.0,1.0
37,-1.0,1.0,-1.0,-0.803938,-1.0,0.030912753,-0.9094641,1.0,-1.0,-1.0,0.12927116,1.0,1.0,-1.0,1.0,-1.0,-0.21940672,-1.0,-1.0,0.86862326,1.0,-1.0,-1.0,0.9030041
38,-0.7358496,1.0,-0.6996934,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.6870707,1.0,-1.0,1.0,-1.0,-0.07255399,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
39,-0.88647497,1.0,-0.87574166,-1.0,-1.0,0.61136913,-0.6549536,1.0,-1.0,-1.0,-1.0,0.98170626,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
40,-0.8671293,1.0,0.27642924,-1.0,-1.0,-0.13160145,-0.4148626,1.0,-1.0,-1.0,-1.0,0.5856174,1.0,-1.0,1.0,-1.0,0.7772429,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
41,-0.72443247,1.0,-0.14310084,-0.8638693,-1.0,-1.0,0.5611985,1.0,-1.0,-0.17381364,0.4379142,0.14256012,1.0,-1.0,1.0,-1.0,0.68926907,-1.0,-1.0,1.0,1.0,-1.0,-0.7877062,1.0
42,-0.86443603,1.0,1.0,-1.0,-1.0,-1.0,0.5735426,1.0,-1.0,-1.0,0.022558466,-0.49763256,1.0,-1.0,1.0,-1.0,0.3672789,-1.0,-1.0,1.0,1.0,-1.0,-0.95322424,1.0
43,-1.0,1.0,1.0,-0.09141363,-1.0,-1.0,-0.13932654,1.0,-1.0,-0.8973736,-0.76897955,-0.6777937,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-0.40349108,-1.0,-1.0,1.0
44,-1.0,1.0,1.0,-0.8465459,-0.4241597,-0.6072542,0.117450625,1.0,-1.0,0.110449016,-1.0,-0.8429593,1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.86073625,1.0,-1.0,-1.0,0.83160365,1.0
45,-1.0,0.3416639,1.0,-1.0,-1.0,-0.34201062,0.42753586,1.0,-0.5242934,-0.07957214,-1.0,-1.0,1.0,-1.0,1.0,-0.7160492,1.0,-1.0,-0.20034686,1.0,-0.022043765,-1.0,0.004828453,1.0
46,-1.0,0.9305709,1.0,-0.59777915,-0.080939144,-1.0,0.19167492,0.58006066,0.3665159,0.5511537,-1.0,-0.956793,1.0,-1.0,1.0,-0.17809787,1.0,-1.0,-0.47077426,1.0,-1.0,-0.40515924,-0.36144477,1.0
