Step,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18,data_19,data_20,data_21,data_22,data_23,data_24,data_25,data_26,data_27,data_28,data_29,data_30,data_31,data_32,data_33,data_34,data_35,data_36
1,0.08179994973758525,1.3940272734235277,-4.739480209318564,-0.08657194456209251,0.027107452056416317,0.0093609760596809,0.15119228881726476,-1.5623065618314271,10.136553460869257,0.020809718742683486,0.004383009297631967,0.02749172956699139,-5.863592776746669,-1.6921888062807031,-0.5954260084301294,0.00457122098220606,-0.07414558936727299,-0.08880583500234658,-0.44814813044214535,-0.87348877555172,-0.11583120650541553,6.341191598707674e-05,-0.008172413391027837,0.01531287410000968,0.6668475136526811,2.700691846653701,-2.0485222411496937,-0.0686353837577848,0.060858658362751936,-0.014122677043169543,-0.10253453576992035,1.1767451268246105,0.4070334421151049,-0.02291845179641268,0.015497667944052862,-0.011501336631289555
2,0.9035951695821203,2.07038644294312,-0.5337771719591011,-0.20042920624800037,0.08700154238219888,0.07226850840647607,-0.022597975608468573,-1.4270884222441373,10.559249455541705,0.07163467626756154,0.01510437585846588,0.07870370282893256,-8.012765281608884,-0.7187793523402666,-0.4216708168365036,-0.0908576087042391,-0.20895508773006052,-0.3083856085165343,-4.448155815767428,-0.684437973869721,1.9009371318404218,0.07664100307576684,-0.33596804703603766,0.17772177564792874,0.9134610952969455,4.07439268811764,-1.6118215825137314,-0.20330197205102016,0.15142105227118235,0.10736811467255483,-1.5455258661740066,1.9737767700538005,1.3958248404024134,-0.1875634787794317,0.017021301468552817,0.022583987655205702
3,1.7653365994974846,2.5396047240613426,2.419477459782804,-0.2846388772034666,0.14723268402983813,0.25433640667034146,0.21948609250286139,-0.8622710069142384,9.91136714440841,0.11677423123890908,0.021800403130954698,0.13302763314277918,-8.991597066612002,1.212271629208074,-1.0980261153053736,-0.2501800082692633,-0.3477058823754879,-0.6231337350864982,-6.738505442444697,-1.9933297213192993,2.629476312004417,0.2905597628470373,-0.37211452413489926,0.6819917979542792,1.79916849053574,4.437258366044412,-1.3448466799713976,-0.2900470226824739,0.12325414031564523,0.4194382173484223,-1.3048107699161362,4.140460728494211,2.133892920621725,-0.3459683324158869,0.011372531297639836,0.23569547659450205
4,2.273009785247213,2.5886860550214768,4.289355321017386,-0.3822729570282736,0.23207392970521842,0.4751765665838072,0.586844527201306,-0.20687403749117095,9.063123950481526,0.14142922934527255,0.039495969506432145,0.19756766737002573,-9.643293534602366,2.77866721287508,-0.6361089832729053,-0.49418226815637445,-0.47295437290584724,-1.0067611635017755,-8.394771922957087,-2.8644692207547195,3.1504374349345516,0.6074258116558965,-0.3346807510043461,1.347959266377936,2.820546786894966,4.580602751721331,-0.8179798971656007,-0.35473204612112813,0.03523367270881417,0.896029630379814,-1.8050986905775128,5.987208767268844,2.484347096389083,-0.3956693510594181,-0.05818679027871917,0.602773107616735
5,2.587203552419837,2.244899568909531,5.640914157927718,-0.4652201166532006,0.3351594894566477,0.7176627447996883,0.9816009848011121,0.4685216884539713,8.512713970636604,0.13570230400104588,0.0735475382389263,0.2783012443045163,-10.105177252075928,3.8781901177450306,0.3761320929445503,-0.694740230692759,-0.5442102888857766,-1.4242882148556462,-9.38715872998671,-3.175406820393245,3.82900536674716,0.9680121204968822,-0.25679983250380356,2.0968252299486076,3.117785509494195,4.507967180600774,0.03949461255886106,-0.47461062918041763,-0.01156740538384152,1.5158088340413902,-1.8666919192878064,7.454788570600235,2.329020643661258,-0.3733690857519271,-0.12221633713036967,1.1073632910489
6,2.6218082493617993,1.5474565819316946,6.526658900794574,-0.5322521731647549,0.459351103914868,0.9790414855735724,0.7085073396141562,0.5912029625231253,7.690745093110642,0.11584203709256714,0.10282780695655305,0.38426664921181675,-10.797960566850001,4.797112177055122,1.1526710078235711,-0.8436949487434671,-0.5714631510285095,-1.8327979416183886,-11.897149653169349,-1.5888733986075314,2.631646003266134,1.1691400948086537,-0.3130054483558423,2.960336697621476,4.148631227107117,6.042275783580364,1.9392846788785008,-0.6090034394169365,-0.06139829621056948,2.125984438963508,0.3336654466866989,9.44358331035018,1.2923500283795566,-0.3312269554731144,-0.11447823863174354,1.6488581690769026
7,2.330265190008164,0.7246572200411888,7.235332087944116,-0.5689246093624385,0.5787237622883555,1.2468220587201904,1.1292535723803754,0.6025014089128596,7.850316447054874,0.09377421530082079,0.13278103002379454,0.48926738183829105,-11.213491466600322,4.739478376068859,1.8614707575344953,-0.9271499775639449,-0.5813824628073422,-2.2377924969033813,-11.912528668112596,0.12664818292081637,1.7223927277397566,1.1761344466561887,-0.3974184685061273,3.8808731089668616,5.179776664181656,7.217575248613103,3.139874572083441,-0.7834968199438743,-0.13896658326055336,2.6923171205926137,1.8325230305420788,10.92534150150678,0.14928656879390695,-0.296986032932845,-0.0549150893550562,2.14535832049132
8,1.9410217255693347,0.45862977955494855,7.840921799638166,-0.5881451755571186,0.6787008989462979,1.4787975636558353,1.7288773802129502,0.39485097791304685,8.241989282036606,0.076974895552694,0.18361059236964977,0.5689001795468536,-11.264632225324245,4.050219332171665,2.489735765058573,-0.9439441888198338,-0.5834364242835084,-2.6131837939890623,-10.814337318266793,1.786677210073447,1.3448975916239272,1.0070852010921236,-0.3268726791319881,4.612634438513426,5.75300016370413,8.47313556424514,4.09396697121832,-1.082136263674852,-0.2414325930216382,3.180371892225382,3.0204514862540877,11.766536547923572,-0.41467944614289526,-0.24882847659001628,0.005124049285391144,2.593959528368
9,1.5982943593421404,0.21572903308158783,8.247702709198917,-0.5986231876819712,0.786802575917454,1.734894201572233,2.30695573413179,0.2069504257269725,8.334888351847901,0.06925097521391965,0.2575865811220154,0.6052838497871462,-11.115465959957469,3.0879705150970285,3.1278639563413475,-0.934251140015148,-0.5789169775562225,-2.8545970266405742,-9.363874285854804,3.096627544647293,1.3660061085335848,0.7243889095250202,-0.08563224328607164,5.35806565454564,6.2636768022055405,9.329016066332183,4.566023381619681,-1.4428886494021846,-0.3335668103851611,3.621974026221542,3.866645838376265,12.45225130479419,-0.7437950014472081,-0.2196232719140232,0.049717356730781426,2.8855576183767666
10,1.4020065020102481,-0.12931572248580717,8.511187483740999,-0.5867687498778904,0.8650037268834979,2.0238084843412687,2.768091401164209,0.08857267750248293,8.5941691571645,0.0696279508773698,0.35828578480751216,0.6110471671602271,-10.790865456937706,1.930597145943773,3.781478456124928,-0.8825614745781345,-0.5777454259386056,-3.0475723190871578,-7.974406220696109,4.183880419648408,1.744769581224254,0.45436490249208844,0.262172826329467,5.917397516544296,6.625847918391433,10.086378370446827,4.557919355409903,-1.8498164834947248,-0.39179985782843996,3.9011538472103156,4.510398712798728,12.661040765564618,-0.932213936546664,-0.20049953927922448,0.06852918193826013,3.038637127187165
