Step,Tension_Force_1,Tension_Force_2,Tension_Force_3,Tension_Force_4,Tension_Force_5,Tension_Force_6,Tension_Force_7,Tension_Force_8,Tension_Force_9,Tension_Force_10,Tension_Force_11,Tension_Force_12,Tension_Force_13,Tension_Force_14,Tension_Force_15,Tension_Force_16,Tension_Force_17,Tension_Force_18,Tension_Force_19,Tension_Force_20,Tension_Force_21,Tension_Force_22,Tension_Force_23,Tension_Force_24
0,-9.84413280625735,-5.599902566786774,0.0,-11.308646716938997,0.0,-3.870211802465864,-10.563571363761003,-15.889717207867093,-7.63069814062552,0.0,0.0,0.0,-8.199729616422232,-15.81542245338633,-15.859371704172927,0.0,-16.12112119985763,-0.35350857265830826,-1.4770433765828217,-8.840287833402057,-15.458751322017616,0.0,0.0,-15.888036354310483
1,0.0,-16.30327527773259,0.0,0.0,0.0,-8.383061790950713,-12.00544396736962,-16.281854432118152,0.0,0.0,0.0,0.0,-13.194752725884008,0.0,-16.288828002739077,0.0,-15.722054832677749,0.0,0.0,-16.015444060828724,-12.135165616013293,0.0,0.0,-16.27784751916434
2,0.0,-16.15715408533213,-0.5459695348771528,0.0,0.0,-3.4766228442923306,-16.26964783988358,-16.053289266838117,0.0,0.0,0.0,0.0,-15.2898327077465,0.0,-15.872564296565113,0.0,-16.11652343113971,0.0,0.0,-15.805771019715694,-12.458387022353502,0.0,0.0,-15.893851507079141
3,0.0,-16.211502752762488,0.0,0.0,0.0,-6.543222611858373,-16.280595856870498,-13.678375897011176,0.0,0.0,0.0,0.0,-14.40688114390543,0.0,-16.16634789967898,0.0,-16.001933703004475,0.0,0.0,-15.718900370242908,-10.02936197465012,0.0,0.0,-16.086040285873477
4,0.0,-16.17633358831481,0.0,0.0,0.0,-3.644284715027247,-16.14121428706665,-15.743042169550106,0.0,0.0,0.0,-0.5314171166875616,-16.084678988693735,0.0,-15.939669930572114,0.0,-15.875233937897184,0.0,0.0,-16.26908579878499,-9.34472354085908,0.0,0.0,-15.681413785565978
5,0.0,-16.080141102040077,0.0,0.0,0.0,0.0,-16.291369680392407,-14.916666204498629,0.0,0.0,0.0,-3.777581834004387,-15.853667800967758,0.0,-16.192880121219055,0.0,-15.997792560439043,0.0,0.0,-16.044423323635417,-6.346064962236227,0.0,0.0,-15.9921951463101
6,0.0,-16.279219750755125,0.0,0.0,0.0,0.0,-8.34617750465098,-14.788245320167434,-0.12376628041650302,0.0,0.0,-8.04776240654769,-15.809766968396344,0.0,-15.757622603133465,0.0,-16.271185835875134,0.0,0.0,-15.894072109767492,0.0,0.0,0.0,-15.970373417786368
7,0.0,-15.940866660225995,0.0,0.0,0.0,0.0,-11.74211910874979,-15.042633062737018,0.0,0.0,0.0,-7.202745068173435,-16.244705571446527,0.0,-15.938290570557252,0.0,-16.309169997667684,0.0,0.0,-16.212476047352837,0.0,0.0,0.0,-15.94419022053336
8,0.0,-15.86118789835044,0.0,0.0,0.0,0.0,-8.265413895230425,-16.01540242440604,0.0,0.0,0.0,-8.37660844509045,-16.144776303796803,0.0,-16.226778709963394,0.0,-16.142914245614442,0.0,0.0,-16.041989410596553,0.0,-1.827375490933103,0.0,-15.907286679325447
9,0.0,-15.849623188817375,0.0,0.0,0.0,0.0,-7.834876944325449,-16.19361793440139,0.0,0.0,0.0,-8.518061128655155,-16.050734784116727,0.0,-15.943850783152794,0.0,-15.989721009767093,0.0,0.0,-15.751558829049536,0.0,-2.536134458469551,0.0,-15.748859708943892
10,0.0,-16.313762783266988,0.0,0.0,0.0,0.0,-7.826972827096104,-16.022345779846255,0.0,0.0,0.0,-8.235825052378464,-15.829741548402811,0.0,-16.309877215355204,0.0,-16.132147545681647,0.0,0.0,-16.217709611458805,0.0,-2.141223592497769,0.0,-16.184857648882115
11,0.0,-15.979737798186958,0.0,0.0,0.0,0.0,-7.900000388198108,-15.337854922410209,0.0,0.0,0.0,-7.8396288464199815,-16.270487152560932,0.0,-16.18544088609812,0.0,-15.813266319744033,0.0,0.0,-16.00003265510765,0.0,-1.5218835710848355,0.0,-15.960193288751539
12,0.0,-16.26997063627169,0.0,0.0,0.0,0.0,-7.54595621619815,-14.848272524335126,0.0,0.0,0.0,-7.090063658227747,-15.72840113774034,0.0,-15.992856734941324,0.0,-16.18312633161885,0.0,0.0,-15.823191607365217,0.0,-0.9379162091745092,0.0,-15.892856358490159
13,0.0,-15.850558017705055,0.0,0.0,0.0,-0.010243001494454607,-8.537979083405332,-14.056641130286016,0.0,0.0,0.0,-5.084595371240214,-16.054056653137497,0.0,-15.841963249665552,0.0,-16.245016542381794,0.0,0.0,-16.02879839568298,0.0,-0.6159225494127253,0.0,-15.98953005906591
14,0.0,-16.316629137117832,0.0,0.0,0.0,-0.08237560791512513,-14.251165742954889,-15.830700492537282,0.0,0.0,0.0,-2.83264703968724,-16.170600694125593,0.0,-15.896993743549167,0.0,-16.022601932312355,0.0,0.0,-16.026667375752154,0.0,-1.9547014789529635,0.0,-16.16323760031128
15,0.0,-15.736108560549829,0.0,0.0,0.0,0.0,-16.16837701984427,-14.38507347653011,0.0,0.0,0.0,0.0,-15.706425482710097,0.0,-16.252695852719086,0.0,-16.121673667566863,0.0,0.0,-16.114035091668438,0.0,0.0,0.0,-15.7237299441352
16,-0.47084926905772334,-16.142552253936415,0.0,0.0,0.0,0.0,-16.10369581098532,-15.054746509818848,0.0,0.0,0.0,0.0,-15.729959910691342,0.0,-16.094454273002192,0.0,-16.09441710288408,0.0,0.0,-16.253170652105034,0.0,0.0,0.0,-16.123349789188794
17,0.0,-16.18814529797592,0.0,0.0,-14.899906611926808,0.0,-13.185298518075586,-3.4392237939799095,-3.6617461805321057,0.0,0.0,0.0,-11.326446748274858,-1.6653764129027144,-16.13571845686504,0.0,-16.06601696127571,0.0,0.0,-16.00323558663277,0.0,0.0,-1.9398724778533183,-16.08111101118282
18,-1.2854479722914103,-0.7432623491015004,0.0,-15.634331804891865,-8.100080248637743,0.0,-6.150232222632226,0.0,0.0,0.0,0.0,0.0,-1.5370901687694725,0.0,-15.985049897542659,0.0,0.0,0.0,0.0,-15.963925315871053,-2.105545447394184,0.0,-1.1181971742859935,-1.7370436450277915
19,0.0,-1.492566314992538,0.0,-15.097096306971588,-16.09406360939673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9086125972785974,-16.178972003728646,0.0,0.0,0.0,0.0,-16.074001124044756,0.0,-6.722553991253068,-16.307474992898324,-5.9081552011031455
20,-0.09067117215599386,0.0,0.0,-16.1541364385177,-15.219457446738357,0.0,-0.17813121459543788,0.0,-7.12921311106444,0.0,-3.300871032266352,0.0,0.0,0.0,-16.1912303494602,-15.860971975990717,-0.5369847684172406,0.0,0.0,-15.891400936595575,0.0,0.0,-7.902580936184414,-7.5480644008092534
21,-3.084148271944076,0.0,0.0,-16.308441417231137,-15.945066277469635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.250367290610802,-11.746432540630638,-1.841983224539792,0.0,0.0,-15.917461783650873,0.0,0.0,-9.330446290619296,-2.0635727399787243
22,-10.874392781218827,0.0,0.0,-16.281807890816975,-15.415636871430504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.598067652207524,-8.16580108260321,-8.330628241060964,0.0,0.0,-15.948621398353511,0.0,0.0,-10.653302166093328,0.0
23,-15.636056267375237,0.0,0.0,-15.921577020517566,-15.70099888833462,0.0,0.0,0.0,-0.837416515018409,0.0,0.0,0.0,0.0,-3.21763477629976,-14.343083545570066,-11.81798697564266,-8.036798266859462,0.0,0.0,-16.159235139575863,0.0,0.0,-11.575201974093373,0.0
24,-15.827710612726758,-0.9171047629855006,0.0,-15.94844830472651,-16.068169113264172,0.0,0.0,0.0,-2.2479809433307967,0.0,0.0,0.0,0.0,-5.405842598483761,-12.215202402832151,-15.98539587932233,-5.681463746872122,0.0,0.0,-16.308372865031597,0.0,0.0,-6.362777152449542,0.0
